"","ID","site","clone","clone.new","row","col","F1","F2","F23","F24","F24.segment_L","F24.segment_P","F24.segment","X24.GCC","X24.RCC","F25","F25.segment_P","F25.segment_L","F25.segment","X25.GCC","X25.RCC"
"420","H9x44","H","88",NA,"9","44","1",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"467","H10x44","H","89","89","10","44","2",3,1,3,0.248868731,0.260567884,0.254718307,0.451249465,0.314687506,3,0.350024072,0.33246062,0.341242346,0.474899084,0.353339487
"514","H11x44","H","81","81","11","44","1",2,2,4,0.237600226,0.242684512,0.240142369,0.454092733,0.320918355,3,0.342084823,0.267413229,0.304749026,0.461549798,0.36346528
"45","H1x45","H","32","32","1","45","1",2,1,3,0.190233551,0.235092425,0.212662988,0.474849246,0.326255448,2,0.177545123,0.11764455,0.147594836,0.451593096,0.343002084
"92","H2x45","H","63","80","2","45","1",2,2,4,0.261681431,0.253167026,0.257424229,0.475295322,0.32394339,3,0.329899095,0.298352265,0.31412568,0.451744438,0.345141983
"139","H3x45","H","76",NA,"3","45",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"186","H4x45","H","82","82","4","45","1",3,1,2,0.223175723,0.166319173,0.194747448,0.469912933,0.324646918,4,0.184992283,0.316350928,0.250671605,0.47957291,0.341273913
"233","H5x45","H","34","34","5","45","1",2,1,3,0.317040125,0.336702689,0.326871407,0.481564256,0.33239845,3,0.179299268,0.118783143,0.149041205,0.448818046,0.375392321
"280","H6x45","H","35","35","6","45","1",2,1,2,0.080836012,0.077596358,0.079216185,0.467586375,0.317563876,3,0.248702719,0.209138502,0.228920611,0.464145055,0.347838214
"327","H7x45","H","23","77","7","45","3",3,4,5,0.22936607,0.424365367,0.326865719,0.482290805,0.325672616,5,0.2864496,0.436217327,0.361333464,0.473783311,0.349707435
"374","H8x45","H","54","54","8","45","2",3,1,3,0.328093874,0.301219086,0.31465648,0.478648291,0.328392555,4,0.395991946,0.400118546,0.398055246,0.474130962,0.359908632
"421","H9x45","H","25","64","9","45","2",3,2,3,0.130196003,0.143828105,0.137012054,0.459684642,0.328224506,4,0.463379457,0.362622648,0.413001053,0.467159544,0.337992299
"468","H10x45","H","50","71","10","45","3",3,3,0,0.056443419,0.045870794,0.051157106,0.453942555,0.345146796,NA,NA,NA,NA,NA,NA
"515","H11x45","H","32","32","11","45","0",1,0,2,0.06304678,0.083425828,0.073236304,0.470224665,0.34319031,3,0.123936706,0.175256348,0.149596527,0.483175011,0.359067703
"46","H1x46","H","83","83","1","46","3",3,3,4,0.35569917,0.329408555,0.342553863,0.482587923,0.31780676,5,0.584388213,0.534995706,0.55969196,0.483031666,0.332992916
"93","H2x46","H","49","43","2","46","1",2,1,2,0.067450077,0.080261796,0.073855937,0.468581689,0.327811739,2,0.193922248,0.161672884,0.177797566,0.453363699,0.347560815
